probIn scale
0.4834558 0.01935168
0.4449409 0.01945766
0.4390336 0.01917095
0.4242555 0.01881941
0.417686 0.01842117
0.4205348 0.01791612
0.4485832 0.01749813
0.4656223 0.01760253
0.4982187 0.01755553
0.4800288 0.01796302
0.4751424 0.0180598
0.4389715 0.01763436
0.3974347 0.01749921
0.3851105 0.01772212
0.437322 0.01737339
0.4090802 0.0179602
0.3899437 0.01829711
0.369145 0.01819633
0.3548724 0.01770358
0.3848721 0.01733234
0.3919777 0.01792938
0.3987582 0.01792638
0.3945633 0.01696026
0.4200862 0.01697077
0.3946701 0.01728163
0.3881602 0.01706629
0.3966945 0.01714171
0.3813743 0.01617854
0.392139 0.01568578
0.3894964 0.0160503
0.400788 0.01614105
0.3683949 0.01561044
0.337332 0.0152759
0.3332929 0.015799
0.3314351 0.01589908
0.3238611 0.01633141
0.3573835 0.01599892
0.3589845 0.01707076
0.3348186 0.01629096
0.3256856 0.01592626
0.3128775 0.01620134
0.2994738 0.01686406
0.3092249 0.01694561
0.2857408 0.01615651
0.3020549 0.01602763
0.2707368 0.01582878
0.2643205 0.01594736
0.2548056 0.01671368
0.2520094 0.01727634
0.272369 0.01738311
0.2942813 0.01748142
0.3015165 0.01705715
0.3051407 0.01711463
0.2806229 0.01800368
0.2947127 0.01817963
0.3120648 0.01858218
0.3422313 0.01782506
0.3659263 0.01818824
0.3574416 0.01906731
0.3676993 0.01918743
0.3378253 0.01837176
0.3289409 0.01905443
0.3180912 0.01947766
0.3695955 0.01888528
0.3673503 0.01934211
0.352863 0.01940769
0.3574608 0.01887458
0.3641969 0.01953303
0.345925 0.018762
0.3563178 0.01897642
0.3535527 0.01942374
0.3331543 0.01929841
0.3383343 0.01896659
0.3648236 0.01959373
0.3564596 0.01947341
0.3822028 0.02037978
0.3586988 0.02008046
0.3739376 0.02035358
0.3641045 0.01979355
0.3572718 0.01968184
0.3627275 0.02033428
0.3619217 0.02052259
0.3620434 0.02138762
0.366502 0.02101393
0.3775154 0.02142464
0.3906625 0.02167834
0.4176363 0.02109202
0.3858416 0.02077541
0.3810615 0.02003623
0.366786 0.0203593
0.3639164 0.02087911
0.3433425 0.02048305
0.3348844 0.02023172
0.3309229 0.02036851
0.3221465 0.02019314
0.3060545 0.02061515
0.3435607 0.02088928
0.3386551 0.02111935
0.3128089 0.02135525
0.3323693 0.02156886
0.315724 0.0205725
0.3253999 0.02077814
0.3317656 0.0215811
0.3215041 0.02093161
0.3283943 0.01970242
0.3243594 0.01902992
0.3335937 0.018329
0.3610348 0.01921016
0.3399863 0.01982092
0.3493388 0.01981903
0.3956311 0.02004271
0.3774618 0.02004066
0.3864599 0.02003582
0.376751 0.02043257
0.3662348 0.02046861
0.3794247 0.02061812
0.3723216 0.02053233
0.3979442 0.01908878
0.378068 0.01842468
0.4177853 0.01815995
0.3887506 0.01838825
0.3945096 0.01798196
0.4065749 0.01764908
0.4426335 0.01786551
0.4077603 0.01839305
0.3993804 0.01889528
